,Tweets
40,b'@digvijaya_28 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb6\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb6\xe0\xa5\x8b\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xa8\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa5\x80\xe0\xa4\xa1\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x89\xe0\xa4\xb8\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xb8 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\xa5\xe0\xa4\xbe \xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\x86\xe0\xa4\x8f\xe0\xa4\x97\xe0\xa4\xbe \xe0\xa4\x85\xe0\xa4\xac \xe0\xa4\x96\xe0\xa5\x88\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\xb2 \xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xa7\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xb8 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xaa\xe0\xa4\x82\xe0\xa4\xa5\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x80 \xe0\xa4\xac\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xa0\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa4\x95\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa5\xa4 @'
41,b'@CricCrazyJohns Wtf...'
42,"b""@JhaSanjay Who will defeat ... disastrous current oppst can't be a good time govt...Oppst don't have even trust of 25% of the voter...that's it"""
43,b'@nawabmalikncp What are you doing Sir??'
44,b'@ANI \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82Which kind of family gets divided during IndPak match..?'
45,b'@Sonal_MK For kids???'
46,"b""@mufaddal_vohra If he can't bowl then he is out..."""
47,b'Hahaahha true af... @\n#raulgandy https://t.co/FgzYopm3H4'
48,b'Hey @MdShami11 just chill...let these dogs bark.. @BCCI @imVkohli'
49,"b""If hardik pandya can't bowl ...why he is in team...he just a liability without bowling..."""
50,b'@sanket \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xae \xe0\xa4\xac\xe0\xa4\xa6\xe0\xa4\xb2\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\x95\xe0\xa4\xa4 \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xb2\xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\x82 \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\xb6\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa4\xbf \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa5\x88\xe0\xa4\xa0\xe0\xa4\xbf\xe0\xa4\x8f |\n \xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa5\x8b \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa5\xa4\n#AyodhyaCantt'
51,"b""@mufaddal_vohra I guess One team is Ahemdabad the other is either Guhahati or Lukhnow ...I feel it's Guhahati.."""
52,b'Swara Bhaskar existence is a shame for all .. #Hindu #SwaraBhasker'
53,b'@Sahastranshu19 @deepakvns2007 Hahaahahahha'
54,b'@AmitShah \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaf\xe0\xa4\xb6\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x83\xe0\xa4\xb9 \xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x85\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xa4 \xe0\xa4\xb6\xe0\xa4\xbe\xe0\xa4\xb9 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\xac\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\x87\xe0\xa4\xaf\xe0\xa4\xbe\xe0\xa4\x82 l'
55,b'@ShaneWarne @davidwarner31 @Eoin16 True....'
56,"b""@MishiChoudhary @WhatsApp Atleast we are not chatting about Drugs on whatsapp...be safe Ma'am.."""
57,b'1billion Covid vaccine \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8fHats off \n.'
58,b'Bb ki vines is legit #Dhindora'
59,b'@vinodkapri @iamsrk @BeingSalmanKhan @karanjohar @MadhuriDixit @itsKajolD @akshaykumar @ajaydevgn @mrsfunnybones @SrBachchan @realpreityzinta @yrf @duttsanjay \xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa5\xa4'
60,b'RiP https://t.co/1SgOn7vM75'
61,b'Bunch of dickheads... #shame poki https://t.co/GrlFt26jT9'
62,b'Currently union territory of Jammu and Kashmir is under the rule of Central govt...then also we are not able to save our soldiers and migrant labourers....#Article370 #satyapalmalik @manojsinha_ @PMOIndia'
63,b'Indian liberals and and some sikulars--...needs to understand @RahulGandhi is communist...not secular #raulGandy'
64,"b""Capt Amrinder Singh...it's like master stroke...if @BJP4India takes back laws...credit goes to @capt_amarinder ...if not then its either the end of @INCPunjab or himself... #masterstroke #capt_sahab"""
65,"b'@Cricketracker Scotland,India and Srilanka...'"
66,b'@cricketaakash \xe0\xa4\x95\xe0\xa5\x87\xe0\xa4\x8f\xe0\xa4\xb2 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\xb2'
67,b'@ndtv \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
68,b'Burn terrorist in Kashmir #AmitShah @PMOIndia @AmitShah'
69,b'@OfficialCSA is racist #shame'
70,b'@ANI What the fuck... Just like this one more term of Modi sarkar guaranteed...'
71,b'Nothing will happen these new Gandhis are clueless niggas https://t.co/GwHLRD4wS1'
72,b'Good one @ChennaiIPL \nGlad to see alumni of school win another ipl @msdhoni'
73,"b'Kkr should retain Narine,Gill and Iyer/Ferguson...build a new team..with 2 Indian wk..Go for #Joeroot leave #Morgan...no damm middle order... #CSKvsKKR'"
74,b'Karthik and Morgan are disaster for Kkr...no fucking middle order...Shakib and Rana are just throwing their wickets from last game...feeling sad for Iyer and Gill @KKRiders @IPL #KKR'
75,"b""Morgan atleast put some fight so you don't get trolled.......#KKR"""
76,b'Get well soon #ManmohanSinghji'
77,"b""@imneev16 @CutestFunniest Even Morgan scored 47 not out in this year's ipl...far higher than dhoni...\xf0\x9f\x98\x82"""
78,b'@ittzz_spidey If captaincy is about luck...Then Ms dhoni and Ricky ponting are luckiest.... \xe0\xa4\xae\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa4\xac \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\xae\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa4\xac \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\x87\xe0\xa4\xa8\xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\xb0\xe0\xa5\x8b \xe0\xa4\xb8\xe0\xa4\xae\xe0\xa4\x9d \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82|'
79,b'I believe @ECB_cricket is monitering the @KKRiders camp.'
80,"b""Two capt who are out form...Avg less than 20 and plays at 6-7..and now booooom it's #CSKvKKR leading from the front is now overrated... leading team to wins is imp @IPL @msdhoni @Eoin16 @ChennaiIPL @KKRiders"""
81,b'@robin_kasukar Nope....This kkr team needs a manager...if someone else becomes the capt/manager in the final ...Kkr will collapse...just like first phase 2021 and 2020.. similarly Ms dhoni is also not in form but he just made 18 from 6 so we think he is in form...grow up..These two are gd capt'
82,b'@MichaelVaughan \xf0\x9f\x98\x82'
83,"b""If @KKRiders does not win @IPL this year...then it's the last year of @Eoin16 in ipl franchise..or can he be Maxwell of rcb for some other team...like the 2 new teams might go behind him...if he do wonders in @WorldT20"""
84,b'@cricketaakash'
85,"b""Nitish Rana needs to clam down...and I don't understand why Dk is batting above Morgan ..Last year Morgan carried the team...he should come out and play more balls when kkr is winning comfortably...I guess he is doing great while being the fielding side but worst as batting"""
86,"b""@CricSaransh @cricketxanish @cricketaakash It's a team game...Mac Ans Morgan and entire kkr team deserve credit...But Morgan has lotrally managed the team well..."""
87,b'Hey @ktakshish why you blocked my senior?? @Sahastranshu19'
88,b'#RSS_UnitingIndia'
89,b'@RanaAyyub Because we have many topics of Islamic Terrorism to talk about....'
90,b'@RanaAyyub Propaganda....before action in J&amp;K good...Indians have shown patiance in dealing with people like you for past 100s of years...'
91,"b""@Lostt_Soulll I guess you don't know...that players play Syed mustaq Ali trophi,vijya hazare,Ranji trophy and zone level cricket every damm year...How easy for someone like you to say 8-9ipl matches...even they have played ipl for 8-9 seasons ...as team player or net bowler.."""
92,"b""@Cypher2802 @cabikashs @Lostt_Soulll Chahal post Dhoni's retirement was not good enough to please Bcci selection committee..Plus every player is selected on their Syed mustaq,Ranji,Ipl and vijya hazare basis not just 8-9 ipl matches..."""
93,"b""\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8dIt's a reminder you guys trolling and giving threats to any other person on social media...exposes your upbringing. #danielchristian #RCBvKKR https://t.co/4hMQdsU1hT"""
94,b'Has rcb tweeted about their toxic fans/wanna be imposters??? @RCBTweets @imVkohli giving rape threats to women ..how pathetic you guyz are...'
95,b'If virat kholi leaves rcb next year(if)...then what will happen to the rcb?..any hype any thing Anymore E sala cup namde? #KKRvsRCB'
96,"b""Thank you for clarifying that...we were fools..we didn't think that.. Thank you Sir https://t.co/Hh1oHnH5k3"""
97,b'The middle class of India the salary bound person of India pay so many taxes..on petrol food salary...what he/she get in return... No electricity?? #electricity @AmitShah @RajKSinghIndia @PMOIndia'
98,b'@Sahastranshu19 @imVkohli @msdhoni \xf0\x9f\x98\x82 capt Morgan... Morgan2caps'
99,b'@RoflGandhi_ @JoeBiden Tbh wtf you just tweeted.... #shame'
100,b'@Jairam_Ramesh Kuch bhi... \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
101,b'Tata sons has bought their son... #AirIndia'
102,b'@Kisanektamorcha @aajtak @KuldipBJP @aajtak shame shame puppy shame'
103,b'Why @narendramodi not doing what Ramiz is saying.. every single penny #pcb gets now is directly or indirectly going to Isi Taliban and terrorism... #taliban @AmitShah @manojsinha_ https://t.co/u5yOAp5i5E'
104,b'When army will start finding these bastards ...someone like @MehboobaMufti will try pak pak pak.. @narendramodi @AmitShah @PMOIndia https://t.co/Kh6UWwk5aG'
105,"b""@Deviprasad_dpm @cricketaakash Obviously...Hussey and Brendon showing cards from dugout is shame to world cup winning capt like morgan...but still in the second phase of ipl...he got a solid playing 11..one of reason behind KKR's defeats was Patt Cummins...he was out of form.."""
106,b'@cricketaakash Hey hey hey hey...I feel like csk from the beginning was a champian team...while kkr was and still the underdog....like see who are the players in it... other than shubham gill who has played for India...? Give credit to morgan and dk...like you give to Msd'
107,b'True af https://t.co/BIquKEu37r'
108,b'Selective killing in Kashmir valley by muslim Islamist terrorist is shame to the secular Indian govt... @pmo @manojsinha_ @AmitShah do something before entire India act against you...do something that you can proudly say in up elections... #kashmir'
109,b'Hey @RahulGandhi you did a wonderfull job by going to #lakhimpurkhiri and #Hathras..but now hold your balls together and once again go to #Srinagar..it will clean your image of a muslim appeaser and then #Khangress might become congress..in India @INCIndia @manojsinha_ @PMOIndia'
110,"b""Pakistani Jihadists have set their targets on non muslims residential of Kashmir valley...it's the sole duty of @manojsinha_ @AmitShah to end these bastards life.. https://t.co/OpV17g2Y7E"""
111,"b""With eact day passing Terrorism in J&amp;K rising... What are the actions taken against them...it's a union territory.. centre do something.. @AmitShah @manojsinha_ @PMOIndia @OmarAbdullah"""
112,b'Up is the state where law bow down to the rowdys.... #LakhimpurKheriViolence #SachinPilot @INCIndia @BJP4India'
113,"b""@IMFNews should not grant any more loan to @ImranKhanPTI @GovtofPakistan as..This country is the heaven of terrorist...well even if you'll give then what will happen some more guns and bullets will be bought .."""
114,b'This is shamefull @UPGovt sec 144 for oppst leaders??? Democracy gayi tel lene hm toh karenge...cool #shame #LakhimpurKheriViolence https://t.co/R2fjmk049r'
115,b'@myogiadityanath does not trust the people of up? Anything crime happens he put sec 144? WHAT kinda thing is that? This is abuse of power.. Using sec 144 for everything is like denying fundamental rights .. #shame @INCIndia'
116,"b""@ThtKashmiriGuy Tbh if they go... they'll get some votes....as they have a strong vote bank in j&amp;k"""
117,b'Another Kashmiri pandit down in Kashmir valley... Why are we waiting? @pmo @AmitShah'
118,b'@pmo @AmitShah sir pls do something after Taliban takeover these terrorist are once again destroying our heaven... #pok #j&amp;k https://t.co/0EuzxceNOq'
119,b'Each character from bb ki vines #Dhindora has a special place in our hearts... @Bhuvan_Bam'
120,b'@ndtvfeed WHY?'
